wojid,nazwa,ludnosc2013,PKB2013
2,DOLNOŒL¥SKIE,2911045,140251
4,KUJAWSKOPOMORSKIE,2094090,73880
6,LUBELSKIE,2160513,65786
8,LUBUSKIE,1022253,36582
10,£ÓDZKIE,2517787,101077
12,MA£OPOLSKIE,3356805,128119
14,MAZOWIECKIE,5307276,366349
16,OPOLSKIE,1006999,34882
18,PODKARPACKIE,2128707,65107
20,PODLASKIE,1196485,37538
22,POMORSKIE,2292452,95039
24,ŒL¥SKIE,4606387,206348
26,ŒWIÊTOKRZYSKIE,1270263,39876
28,WARMIÑSKOMAZURSKIE,1448289,44573
30,WIELKOPOLSKIE,3463419,159837
32,ZACHODNIOPOMORSKIE,1719626,61651
